Penmar Superba by Wiseman|33.9999|-118.4552
Venice Wave by Wiseman|33.9966|-118.4470
Amherst Rochester by Wiseman|34.0412|-118.4662
Brockton Townhomes by Wiseman|34.0389|-118.4595
McClellan Corner by Wiseman|34.0417|-118.4693
Armacost Manor by Wiseman|34.0428|-118.4606
West Idaho by Wiseman|34.0405|-118.4572
Brockton Manor by Wiseman|34.0439|-118.4638
Armacost Bella by Wiseman|34.0428|-118.4614
Kiowa Grand by Wiseman|34.0468|-118.4672
Gretna Green Harlow by Wiseman|34.0491|-118.4736
Goshen Eighteen by Wiseman|34.0465|-118.4671
Goshen Bundy by Wiseman|34.0462|-118.4674
Gretna Green Tinos by Wiseman|34.0495|-118.4731
Colby Missouri by Wiseman|34.0409|-118.4489
Mayfield Hall by Wiseman|34.0484|-118.4671
Butler Eighteen by Wiseman|34.0410|-118.4485
Barrington Santa Monica by Wiseman|34.0428|-118.4557
Motor Midway by Wiseman|34.0233|-118.4065
Colby Townhomes by Wiseman|34.0440|-118.4516
Colby West by Wiseman|34.0433|-118.4517
Montana View by Wiseman|34.0516|-118.4705
Gorham Fourteen by Wiseman|34.0510|-118.4703
Darlington Home by Wiseman|34.0495|-118.4683
Kiowa Hollow by Wiseman|34.0493|-118.4652
Motor Tides by Wiseman|34.0252|-118.4079
Santa Monica Federal by Wiseman|34.0452|-118.4541
Colby at Ohio by Wiseman|34.0455|-118.4539
Ohio Sawtelle by Wiseman|34.0462|-118.4542
Granville Elegance by Wiseman|34.0498|-118.4645
Purdue Ohio by Wiseman|34.0470|-118.4515
Butler Cabana by Wiseman|34.0477|-118.4542
Santa Monica Breeze by Wiseman|34.0463|-118.4512
Darlington Legacy by Wiseman|34.0529|-118.4634
Beloit at Ohio by Wiseman|34.0479|-118.4485
Bentley Woodland by Wiseman|34.0460|-118.4420
605 Barrington by Wiseman|34.0573|-118.4685
Kelton Madera by Wiseman|34.0484|-118.4387
Overland Century by Wiseman|34.0499|-118.4311
Selby Venti by Wiseman|34.0501|-118.4328
Louisiana Glen by Wiseman|34.0513|-118.4220
Century City Icon by Wiseman|34.0562|-118.4267
Fox Hills Dr by Wiseman|34.0515|-118.4152
Sherbourne Hall by Wiseman|34.0545|-118.3792
Hi Point Terrace by Wiseman|34.0497|-118.3688
Ogden Garden by Wiseman|34.0581|-118.3619
Blackburn La Cienega by Wiseman|34.0726|-118.3752
Blackburn Beverly by Wiseman|34.0724|-118.3735
Orlando on Third by Wiseman|34.0738|-118.3728
Kings on Third by Wiseman|34.0735|-118.3722
Orlando on First by Wiseman|34.0744|-118.3728
Rimini by Wiseman|34.0742|-118.3719
Croft Retreat by Wiseman|34.0737|-118.3737
Croft Eleven by Wiseman|34.0741|-118.3746
Sweetzer on Third by Wiseman|34.0739|-118.3703
Hayworth Hyde by Wiseman|34.0785|-118.3630
Hayworth Abbey by Wiseman|34.0790|-118.3630
Alfred Atlas by Wiseman|34.0882|-118.3756
Edinburgh Courtyard by Wiseman|34.0860|-118.3638
Wilcox Melrose by Wiseman|34.0849|-118.3307
Hudson Lux by Wiseman|34.0856|-118.3324
Cole Grove by Wiseman|34.0839|-118.3301
Waring Hudson by Wiseman|34.0855|-118.3318
Martel Flats by Wiseman|34.0950|-118.3508
Wilcox Bea by Wiseman|34.0868|-118.3307
Formosa Fountain by Wiseman|34.0955|-118.3458
Gramercy Park by Wiseman|34.0808|-118.3123
Poinsettia Sunset by Wiseman|34.0973|-118.3487
Hawthorn at Poinsettia by Wiseman|34.0996|-118.3482
Sunset Rise by Wiseman|34.0974|-118.3449
Broadway Glendale by Wiseman|34.1460|-118.2530
Purdue Point by Wiseman|34.0468|-118.4512
