name|category|beds|baths|sqft|address|price|phone|path|image
Brockton Manor by Wiseman|Apartment, West LA|Studio-5 Beds|1-5 Baths|1,360 Sq. Ft.|1301 Brockton Ave, Los Angeles, CA 90025|$4,995.00|+1 310-867-1343|ca/los-angeles/brockton-manor/default.aspx|s3/3/216712/3_216712_1389740.jpg
Beloit at Ohio by Wiseman|Apartment, West LA|1-4 Beds|1-4 Baths|650 to 1,657 Sq. Ft.|1539 Beloit Ave, Los Angeles, CA 90025|$3,945.00 to $5,595.00|+1 310-473-3000|ca/los-angeles/beloit-at-ohio/default.aspx|s3/3/232072/3_232072_1609853.jpg
Broadway Glendale by Wiseman|Apartment|1-3 Beds|1.5-3 Baths|924 to 1,685 Sq. Ft.|220 E. Broadway, Glendale, CA 91205|$3,450.00 to $3,795.00|+1 310-473-3000|ca/glendale/broadway-in-glendale/default.aspx|s3/3/119320/220_east_broadway_exterior.jpg
Penmar Superba by Wiseman|Apartment|Studio-2 Beds|1-2 Baths|750 Sq. Ft.|2001 Penmar Avenue, Venice, CA 90291|$3,595.00|+1 310-699-7027|ca/venice/penmar-superba-llc/default.aspx|s3/2/9707/rsz_2001_penmar_ave_new_exterior_-2.jpg
Venice Wave by Wiseman|Apartment|1-2 Beds|1-2 Baths|206 to 829 Sq. Ft.|1600 Venice Blvd, Venice, CA 90291|$3,045.00 to $3,445.00|+1 323-570-4466|ca/venice/venice-wave-lp/default.aspx|s3/2/9707/rsz_1600_venice_bl_hdr-03.jpg
Amherst Rochester by Wiseman|Apartment, West LA|3-4 Beds|3 Baths|1,711 to 1,837 Sq. Ft.|1331 Amherst Ave, Los Angeles, CA 90025|$4,895.00 to $5,095.00|+1 984-349-0025|ca/los-angeles/amherst-rochester/default.aspx|s3/3/90953/1331amherst-106%20(1)%20real.jpg
Brockton Townhomes by Wiseman|Apartment, West LA|3-4 Beds|2.5-3 Baths|1,450 to 2,000 Sq. Ft.|1623 Brockton Ave, Los Angeles, CA 90025|$4,595.00|+1 310-279-6475|ca/los-angeles/brockton-townhomes/default.aspx|s3/3/90963/1623brockton-106%20real%202.jpg
McClellan Corner by Wiseman|Apartment, West LA|1-2 Beds|1-2 Baths|—|1212 McClellan Drive, Los Angeles, CA 90025|$3,495.00|+1 984-349-0025|ca/los-angeles/mcclellan-corner/default.aspx|s3/3/90968/1212mcclellan-106.jpg
Armacost Manor by Wiseman|Apartment, West LA|1-3 Beds|1-2.5 Baths|600 to 1,675 Sq. Ft.|1446 Armacost Ave, Los Angeles, CA 90025|$4,950.00|+1 310-473-3000|ca/los-angeles/armacost-manor/default.aspx|s3/3/90961/1446armacost-106.jpg
West Idaho by Wiseman|Apartment, Condo, West LA|1-3 Beds|1-2.5 Baths|650 to 1,705 Sq. Ft.|1616 S. Westgate Ave, Los Angeles, CA 90025|$4,495.00 to $4,795.00|+1 310-279-6475|ca/los-angeles/west-idaho/default.aspx|s3/3/90962/1616swestgate-106.jpg
